input,pollutant,lag,RR,ci_low,ci_high,pvalue,95% CI
all_CA,O3_NO2,3,1.002,0.998,1.007,0.317,0.9977  - 1.0070
all_CA,O3_NO2,4,0.999,0.993,1.004,0.645,0.9933  - 1.0042
all_CA,O3_NO2,5,0.997,0.992,1.001,0.165,0.9923  - 1.0013
all_CA,O3_NO2,6,0.996,0.991,1.001,0.096,0.9915  - 1.0007
all_CA,O3_NO2,7,0.996,0.987,1.005,0.358,0.9873  - 1.0046
all_CA,O3_SO2,0,1.000,0.986,1.013,0.947,0.9860  - 1.0133
all_CA,O3_SO2,1,1.010,1.002,1.017,0.009,1.0024  - 1.0171
all_CA,O3_SO2,2,1.008,1.001,1.014,0.021,1.0011  - 1.0141
all_CA,O3_SO2,3,1.001,0.996,1.006,0.651,0.9965  - 1.0057
all_CA,O3_SO2,4,0.997,0.992,1.003,0.312,0.9922  - 1.0025
all_CA,O3_SO2,5,0.996,0.992,1.000,0.065,0.9919  - 1.0002
all_CA,O3_SO2,6,0.996,0.992,1.001,0.105,0.9922  - 1.0007
all_CA,O3_SO2,7,0.998,0.990,1.006,0.572,0.9896  - 1.0058
all_CA,O3_CO,0,0.998,0.984,1.012,0.797,0.9840  - 1.0125
all_CA,O3_CO,1,1.010,1.002,1.018,0.011,1.0023  - 1.0182
all_CA,O3_CO,2,1.009,1.002,1.016,0.012,1.0019  - 1.0157
all_CA,O3_CO,3,1.002,0.997,1.007,0.406,0.9973  - 1.0068
all_CA,O3_CO,4,0.998,0.992,1.003,0.438,0.9924  - 1.0033
all_CA,O3_CO,5,0.996,0.992,1.000,0.073,0.9917  - 1.0004
all_CA,O3_CO,6,0.996,0.991,1.000,0.065,0.9912  - 1.0003
all_CA,O3_CO,7,0.996,0.988,1.005,0.396,0.9875  - 1.0050
all_CA,SO2_PM25,0,1.126,0.895,1.417,0.309,0.8954  - 1.4170
all_CA,SO2_PM25,1,1.017,0.866,1.195,0.834,0.8662  - 1.1949
all_CA,SO2_PM25,2,1.024,0.896,1.171,0.724,0.8960  - 1.1713
all_CA,SO2_PM25,3,1.074,0.976,1.182,0.145,0.9757  - 1.1817
all_CA,SO2_PM25,4,1.100,0.982,1.231,0.100,0.9821  - 1.2313
all_CA,SO2_PM25,5,1.103,1.006,1.208,0.036,1.0064  - 1.2084
all_CA,SO2_PM25,6,1.091,0.998,1.192,0.056,0.9978  - 1.1918
all_CA,SO2_PM25,7,1.071,0.905,1.268,0.426,0.9047  - 1.2676
all_CA,SO2_NO2,0,1.063,0.836,1.351,0.618,0.8363  - 1.3509
all_CA,SO2_NO2,1,1.042,0.884,1.228,0.622,0.8844  - 1.2280
all_CA,SO2_NO2,2,1.064,0.926,1.222,0.383,0.9261  - 1.2215
all_CA,SO2_NO2,3,1.093,0.987,1.209,0.087,0.9873  - 1.2094
all_CA,SO2_NO2,4,1.099,0.977,1.236,0.117,0.9766  - 1.2362
all_CA,SO2_NO2,5,1.085,0.987,1.193,0.091,0.9871  - 1.1934
all_CA,SO2_NO2,6,1.059,0.963,1.165,0.234,0.9634  - 1.1651
all_CA,SO2_NO2,7,1.028,0.858,1.231,0.764,0.8585  - 1.2311
all_CA,SO2_O3,0,1.053,0.850,1.305,0.636,0.8499  - 1.3049
all_CA,SO2_O3,1,1.006,0.880,1.149,0.932,0.8803  - 1.1493
all_CA,SO2_O3,2,1.051,0.936,1.179,0.401,0.9363  - 1.1790
all_CA,SO2_O3,3,1.117,1.028,1.213,0.009,1.0283  - 1.2133
all_CA,SO2_O3,4,1.137,1.033,1.252,0.009,1.0332  - 1.2518
all_CA,SO2_O3,5,1.117,1.033,1.207,0.006,1.0328  - 1.2074
all_CA,SO2_O3,6,1.070,0.990,1.157,0.086,0.9905  - 1.1568
all_CA,SO2_O3,7,1.014,0.877,1.172,0.854,0.8768  - 1.1720
all_CA,SO2_CO,0,1.066,0.846,1.343,0.587,0.8464  - 1.3425
all_CA,SO2_CO,1,0.999,0.851,1.172,0.988,0.8514  - 1.1717
all_CA,SO2_CO,2,1.020,0.890,1.169,0.775,0.8901  - 1.1692
all_CA,SO2_CO,3,1.071,0.974,1.177,0.158,0.9739  - 1.1768
all_CA,SO2_CO,4,1.095,0.981,1.222,0.105,0.9812  - 1.2221
all_CA,SO2_CO,5,1.095,1.002,1.197,0.045,1.0020  - 1.1972
all_CA,SO2_CO,6,1.079,0.990,1.177,0.084,0.9898  - 1.1771
all_CA,SO2_CO,7,1.056,0.896,1.244,0.516,0.8962  - 1.2438
all_CA,CO_PM25,0,1.001,0.999,1.003,0.448,0.9986  - 1.0033
all_CA,CO_PM25,1,1.000,0.999,1.002,0.678,0.9989  - 1.0018
all_CA,CO_PM25,2,1.000,0.999,1.002,0.618,0.9990  - 1.0016
all_CA,CO_PM25,3,1.001,1.000,1.002,0.259,0.9996  - 1.0015
all_CA,CO_PM25,4,1.001,1.000,1.002,0.252,0.9995  - 1.0018
all_CA,CO_PM25,5,1.001,1.000,1.002,0.181,0.9997  - 1.0015
all_CA,CO_PM25,6,1.000,1.000,1.001,0.277,0.9996  - 1.0014
all_CA,CO_PM25,7,1.000,0.999,1.002,0.702,0.9987  - 1.0020
all_CA,CO_NO2,0,1.000,0.998,1.003,0.829,0.9978  - 1.0028
all_CA,CO_NO2,1,1.001,0.999,1.002,0.424,0.9991  - 1.0021
all_CA,CO_NO2,2,1.001,0.999,1.002,0.352,0.9993  - 1.0019
all_CA,CO_NO2,3,1.000,0.999,1.001,0.371,0.9995  - 1.0014
all_CA,CO_NO2,4,1.000,0.999,1.001,0.615,0.9992  - 1.0014
all_CA,CO_NO2,5,1.000,0.999,1.001,0.689,0.9993  - 1.0011
all_CA,CO_NO2,6,1.000,0.999,1.001,0.818,0.9992  - 1.0010
all_CA,CO_NO2,7,1.000,0.998,1.002,0.969,0.9983  - 1.0017
all_CA,CO_O3,0,1.000,0.998,1.002,0.834,0.9982  - 1.0022
all_CA,CO_O3,1,1.000,0.999,1.002,0.433,0.9993  - 1.0017
all_CA,CO_O3,2,1.001,1.000,1.002,0.147,0.9997  - 1.0018
all_CA,CO_O3,3,1.001,1.000,1.002,0.021,1.0001  - 1.0016
all_CA,CO_O3,4,1.001,1.000,1.002,0.097,0.9999  - 1.0017
all_CA,CO_O3,5,1.001,1.000,1.001,0.154,0.9998  - 1.0013
all_CA,CO_O3,6,1.000,1.000,1.001,0.592,0.9995  - 1.0009
all_CA,CO_O3,7,1.000,0.998,1.001,0.733,0.9984  - 1.0011
all_CA,CO_SO2,0,1.000,0.998,1.002,0.993,0.9979  - 1.0021
all_CA,CO_SO2,1,1.000,0.999,1.001,0.880,0.9988  - 1.0014
all_CA,CO_SO2,2,1.000,0.999,1.001,0.629,0.9992  - 1.0014
all_CA,CO_SO2,3,1.000,1.000,1.001,0.334,0.9996  - 1.0012
all_CA,CO_SO2,4,1.000,0.999,1.001,0.456,0.9994  - 1.0013
all_CA,CO_SO2,5,1.000,0.999,1.001,0.549,0.9995  - 1.0010
all_CA,CO_SO2,6,1.000,0.999,1.001,0.927,0.9993  - 1.0008
all_CA,CO_SO2,7,1.000,0.998,1.001,0.777,0.9984  - 1.0012
