input,pollutant,lag,RR,ci_low,ci_high
urban,NO2,0,0.988682597,0.963105627,1.014938808
urban,NO2,1,0.994625138,0.980006239,1.00946211
urban,NO2,2,0.999832188,0.988889359,1.010896108
urban,NO2,3,1.003517794,0.98978312,1.017443056
urban,NO2,4,1.004922143,0.99108992,1.018947417
urban,NO2,5,1.004035638,0.993253153,1.014935175
urban,NO2,6,1.001604165,0.988228886,1.015160473
urban,NO2,7,0.998408469,0.974631088,1.022765929
adult,O3,0,1.011857157,0.992653656,1.03143216
adult,O3,1,1.009979101,0.998506938,1.021583072
adult,O3,2,1.008339441,1.000400237,1.01634165
adult,O3,3,1.00717166,0.998248424,1.01617466
adult,O3,4,1.006698881,0.997703418,1.015775449
adult,O3,5,1.006920126,0.999522908,1.014372089
adult,O3,6,1.007610842,0.998481896,1.016823252
adult,O3,7,1.008536987,0.992938668,1.024380343
all_CA,O3,0,1.005217067,0.996007067,1.01451223
all_CA,O3,1,1.004541773,0.999053679,1.010060015
all_CA,O3,2,1.003682221,0.999877248,1.007501674
all_CA,O3,3,1.002454398,0.998160666,1.006766601
all_CA,O3,4,1.000683172,0.996362706,1.005022372
all_CA,O3,5,0.998371428,0.99484367,1.001911695
all_CA,O3,6,0.995698505,0.991360439,1.000055553
all_CA,O3,7,0.992850019,0.985428342,1.000327592
female,O3,0,0.994114908,0.98036611,1.008056521
female,O3,1,0.996552607,0.988338359,1.004835126
female,O3,2,0.998428859,0.992708296,1.004182387
female,O3,3,0.999172624,0.99268499,1.005702658
female,O3,4,0.998237699,0.991702656,1.004815806
female,O3,5,0.995628791,0.990294791,1.000991522
female,O3,6,0.991898954,0.985338433,0.998503155
female,O3,7,0.987621806,0.97641661,0.99895559
male,O3,0,1.013353853,1.001183884,1.025671756
male,O3,1,1.010409326,1.00316253,1.017708472
male,O3,2,1.007560373,1.002549646,1.012596144
male,O3,3,1.004893023,0.999259482,1.010558325
male,O3,4,1.002488849,0.996825058,1.00818482
male,O3,5,1.000345993,0.99571988,1.004993599
male,O3,6,0.998380163,0.992693363,1.00409954
male,O3,7,0.99650426,0.986772608,1.006331885
rural,O3,0,1.002310654,0.990307438,1.014459357
rural,O3,1,1.001745577,0.994584976,1.008957731
rural,O3,2,1.001032205,0.996063594,1.0060256
rural,O3,3,1.000022391,0.994420299,1.005656043
rural,O3,4,0.998574962,0.992942036,1.004239844
rural,O3,5,0.996691822,0.992093439,1.001311517
rural,O3,6,0.994516918,0.988845572,1.00022079
rural,O3,7,0.992199457,0.982485539,1.002009417
senior,O3,0,1.003400241,0.993013591,1.013895532
senior,O3,1,1.003078457,0.996888531,1.009306818
senior,O3,2,1.002454085,0.998159428,1.006767221
senior,O3,3,1.001225369,0.996374509,1.006099845
senior,O3,4,0.999105423,0.994226683,1.004008103
senior,O3,5,0.996099915,0.992123018,1.000092753
senior,O3,6,0.992503983,0.987618805,0.997413326
senior,O3,7,0.988622518,0.980267952,0.997048287
urban,O3,0,1.00903916,0.994670055,1.023615842
urban,O3,1,1.008314049,0.999749224,1.01695225
urban,O3,2,1.007339813,1.001403171,1.013311649
urban,O3,3,1.005867892,0.999161488,1.01261931
urban,O3,4,1.003662101,0.996907761,1.010462204
urban,O3,5,1.000727278,0.99520951,1.006275639
urban,O3,6,0.997306655,0.99055015,1.004109246
urban,O3,7,0.99365147,0.982126822,1.005311353
adult,PM10,0,1.000093038,0.982230164,1.018280767
adult,PM10,1,1.001993352,0.992274088,1.011807815
adult,PM10,2,1.003436951,0.996723322,1.0101958
adult,PM10,3,1.003961286,0.995155641,1.012844848
adult,PM10,4,1.003123912,0.994208639,1.01211913
adult,PM10,5,1.000928234,0.994260154,1.007641033
adult,PM10,6,0.997821653,0.989172359,1.006546575
adult,PM10,7,0.994268594,0.978163909,1.010638428
all_CA,PM10,0,0.995724686,0.987358057,1.004162212
all_CA,PM10,1,0.999625917,0.995066685,1.00420604
all_CA,PM10,2,1.002843711,0.999682957,1.006014458
all_CA,PM10,3,1.004671382,1.000528109,1.008831813
all_CA,PM10,4,1.004430646,1.000234596,1.008644298
all_CA,PM10,5,1.002122988,0.998973085,1.005282823
all_CA,PM10,6,0.998428853,0.994331756,1.002542833
all_CA,PM10,7,0.994055737,0.986445837,1.001724343
female,PM10,0,1.002793533,0.990084239,1.015665971
female,PM10,1,1.003467027,0.996566399,1.010415438
female,PM10,2,1.003824926,0.999047214,1.008625486
female,PM10,3,1.003550931,0.997287235,1.009853967
female,PM10,4,1.002343129,0.996002918,1.008723699
female,PM10,5,1.000204891,0.995444246,1.004988305
female,PM10,6,0.99744304,0.991256546,1.003668145
female,PM10,7,0.994375743,0.982879521,1.00600643
male,PM10,0,0.990519537,0.979592424,1.00156854
male,PM10,1,0.996822462,0.990843778,1.00283722
male,PM10,2,1.002175028,0.998024143,1.006343176
male,PM10,3,1.005567716,1.000129121,1.011035885
male,PM10,4,1.00602765,1.000518324,1.011567313
male,PM10,5,1.003550805,0.99941481,1.007703916
male,PM10,6,0.999104221,0.993720793,1.004516813
male,PM10,7,0.993695254,0.983711956,1.003779867
rural,PM10,0,0.995326376,0.984424772,1.006348704
rural,PM10,1,0.999859134,0.993906193,1.00584773
rural,PM10,2,1.003625708,0.999475784,1.007792864
rural,PM10,3,1.005828746,1.000392126,1.011294911
rural,PM10,4,1.005702317,1.000200603,1.011234293
rural,PM10,5,1.003247298,0.999115271,1.007396414
rural,PM10,6,0.999230897,0.993860023,1.004630794
rural,PM10,7,0.99445094,0.984492856,1.00450975
senior,PM10,0,0.994603667,0.985207427,1.004089522
senior,PM10,1,0.999031132,0.993904554,1.004184154
senior,PM10,2,1.002712932,0.999154673,1.006283863
senior,PM10,3,1.004873667,1.000211161,1.009557907
senior,PM10,4,1.004768488,1.000046434,1.009512838
senior,PM10,5,1.002398105,0.998849251,1.005959567
senior,PM10,6,0.998508402,0.993889635,1.003148633
senior,PM10,7,0.993875164,0.985308583,1.002516226
urban,PM10,0,0.99613372,0.983075263,1.009365636
urban,PM10,1,0.999243546,0.992134345,1.006403688
urban,PM10,2,1.001773998,0.996880793,1.006691221
urban,PM10,3,1.003130751,0.996712889,1.009589937
urban,PM10,4,1.002743947,0.996236718,1.00929368
urban,PM10,5,1.000615603,0.995731317,1.005523847
urban,PM10,6,0.997318506,0.990964676,1.003713076
urban,PM10,7,0.993448088,0.981639255,1.005398977
adult,PM25,0,0.998101317,0.977871594,1.018749543
adult,PM25,1,1.00090644,0.989951584,1.011982523
adult,PM25,2,1.003134825,0.995560144,1.010767139
adult,PM25,3,1.004197352,0.994167705,1.014328182
adult,PM25,4,1.003529833,0.993381031,1.013782319
adult,PM25,5,1.001135717,0.993610415,1.008718014
adult,PM25,6,0.997584203,0.987790044,1.007475474
adult,PM25,7,0.993466302,0.975118851,1.012158971
all_CA,PM25,0,0.992441258,0.982959719,1.002014254
all_CA,PM25,1,0.997841384,0.992700962,1.003008424
all_CA,PM25,2,1.00236841,0.998805581,1.005943949
all_CA,PM25,3,1.005105265,1.000384165,1.009848646
all_CA,PM25,4,1.005169923,1.000389031,1.009973664
all_CA,PM25,5,1.002561869,0.999006842,1.006129546
all_CA,PM25,6,0.998162379,0.993525123,1.002821279
all_CA,PM25,7,0.992888247,0.984217316,1.001635569
female,PM25,0,1.000235668,0.98582506,1.014856927
female,PM25,1,1.002063625,0.99428052,1.009907655
female,PM25,2,1.003432547,0.998046135,1.008848028
female,PM25,3,1.003877963,0.996741222,1.011065802
female,PM25,4,1.002955747,0.995731383,1.010232526
female,PM25,5,1.000669667,0.995293499,1.006074874
female,PM25,6,0.997469329,0.990466565,1.004521603
female,PM25,7,0.993821279,0.980721977,1.007095546
male,PM25,0,0.986673576,0.974301039,0.999203232
male,PM25,1,0.994744688,0.988007185,1.001528137
male,PM25,2,1.001641949,0.996963967,1.006341882
male,PM25,3,1.006094721,0.999898318,1.012329524
male,PM25,4,1.006875693,1.000599894,1.013190854
male,PM25,5,1.003976306,0.999310913,1.008663479
male,PM25,6,0.998611493,0.992519519,1.004740858
male,PM25,7,0.99204735,0.980676407,1.00355014
rural,PM25,0,0.991111085,0.978774163,1.003603508
rural,PM25,1,0.99771211,0.991005806,1.004463796
rural,PM25,2,1.003286193,0.998608982,1.007985311
rural,PM25,3,1.006741086,1.000544415,1.012976135
rural,PM25,4,1.007024653,1.000752464,1.013336152
rural,PM25,5,1.004134213,0.999467584,1.008822631
rural,PM25,6,0.99911802,0.993042146,1.005231068
rural,PM25,7,0.993066888,0.981733199,1.00453142
senior,PM25,0,0.990957334,0.980311438,1.001718842
